COUNTY,FIPS,DMG,DMGCP,INJ,DTH,DMG2000,DMGCP2000,INJ2000,DTH2000,DMG2010,DMGCP2010,INJ2010,DTH2010,DMG2020,DMGCP2020,INJ2020,DTH2020,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,TMP2010,TMP2020,PCP2000,PCP2010,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020
OUACHITA,66,60000.0,81359.0,0,0,0.0,0.0,0.0,0.0,60000.0,81359.0,0.0,0.0,0.0,0.0,0.0,0.0,28790.0,38.55,26120.0,43.02,22650.0,46.16,29341.0,53388.0,31259.0,44999.0,38279.0,46838.0,2.37,50.4,6.12,1.26,59.776,291.252,291.381,291.978,0.108,0.106,0.124,0.0,2.825946509204585,0.0
PERRY,39,12380000.0,17866626.0,0,0,0.0,0.0,0.0,0.0,12380000.0,17866626.0,0.0,0.0,0.0,0.0,0.0,0.0,10209.0,0.0,10445.0,4.84,10019.0,8.52,31083.0,56558.0,43635.0,62815.0,44926.0,54971.0,14.2,67.64,4.74,1.85,184.393,289.686,289.855,290.444,0.097,0.098,0.11,0.0,1750.085806641199,0.0
PHILLIPS,58,108000.0,195365.0,0,0,106000.0,192239.0,0.0,0.0,2000.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,26445.0,59.64,21757.0,64.99,16568.0,66.1,22231.0,40451.0,27361.0,39388.0,33724.0,41264.0,71.69,3.19,4.02,4.69,54.478,290.535,290.664,291.275,0.108,0.103,0.118,7.269389298544148,0.11816978634902628,0.0
PIKE,52,1300000.0,1758902.0,0,0,0.0,0.0,0.0,0.0,1300000.0,1758902.0,0.0,0.0,0.0,0.0,0.0,0.0,11303.0,5.75,11291.0,9.99,10171.0,14.65,27695.0,50393.0,32806.0,47226.0,42983.0,52594.0,11.15,63.46,5.6,1.95,180.876,290.116,290.232,290.872,0.106,0.109,0.125,0.0,155.6137308679112,0.0
POINSETT,27,868000.0,1481844.0,1,4,702000.0,1238664.0,0.0,0.0,166000.0,243180.0,1.0,4.0,0.0,0.0,0.0,0.0,25614.0,8.02,24583.0,10.15,22965.0,15.56,26558.0,48324.0,32267.0,46450.0,40700.0,49800.0,78.72,3.75,4.97,1.51,71.859,289.511,289.677,290.144,0.097,0.097,0.114,48.358866245022256,9.49402670414617,0.0
POLK,40,7590000.0,10813463.0,0,0,0.0,0.0,0.0,0.0,7590000.0,10813463.0,0.0,0.0,0.0,0.0,0.0,0.0,20229.0,4.97,20662.0,7.35,19221.0,14.53,25180.0,45817.0,32525.0,46822.0,39084.0,47823.0,13.37,71.47,5.08,0.37,365.417,289.16,289.301,289.922,0.101,0.102,0.116,0.0,534.5525236047259,0.0
POPE,22,27875000.0,40481209.0,0,1,0.0,0.0,0.0,0.0,27875000.0,40481209.0,0.0,1.0,0.0,0.0,0.0,0.0,54469.0,5.79,61754.0,10.49,63381.0,18.89,32069.0,58352.0,39841.0,57353.0,46004.0,56290.0,21.39,64.25,6.6,2.38,259.44,288.542,288.7,289.311,0.102,0.103,0.114,0.0,743.1972130936863,0.0
PRAIRIE,46,1370000.0,1853673.0,1,1,0.0,0.0,0.0,0.0,1370000.0,1853673.0,1.0,1.0,0.0,0.0,0.0,0.0,9539.0,12.76,8715.0,13.61,8282.0,15.91,29990.0,54569.0,35346.0,50883.0,42754.0,52314.0,60.71,8.19,3.99,5.11,63.143,290.239,290.405,290.933,0.097,0.1,0.118,0.0,194.32571548380332,0.0
PULASKI,44,49150000.0,66947484.0,2,6,0.0,0.0,0.0,1.0,49150000.0,66947484.0,0.0,1.0,0.0,0.0,2.0,4.0,361474.0,35.96,382748.0,42.51,399125.0,50.09,38120.0,69362.0,45121.0,64954.0,52930.0,64765.0,21.22,36.48,24.04,5.34,103.884,290.019,290.202,290.72,0.098,0.101,0.115,0.0,185.20691391358716,0.0
RANDOLPH,8,2030020.0,3278147.0,1,0,1029020.0,1812835.0,0.0,0.0,1001000.0,1465312.0,1.0,0.0,0.0,0.0,0.0,0.0,18195.0,1.42,17969.0,3.51,18571.0,10.16,27583.0,50189.0,30222.0,43506.0,42844.0,52424.0,42.0,45.12,4.58,1.02,122.374,288.493,288.615,289.16,0.092,0.095,0.112,99.63369057433361,80.53377301456445,0.0
SALINE,43,10500000.0,14291328.0,0,1,0.0,0.0,0.0,0.0,10500000.0,14291328.0,0.0,1.0,0.0,0.0,0.0,0.0,83529.0,5.21,107118.0,9.47,123416.0,20.28,42569.0,77458.0,51502.0,74140.0,66876.0,81829.0,7.95,62.45,12.27,1.19,163.666,289.887,290.054,290.623,0.099,0.102,0.114,0.0,171.0942068024279,0.0
SCOTT,37,13590000.0,19463637.0,0,1,0.0,0.0,0.0,0.0,13590000.0,19463637.0,0.0,1.0,0.0,0.0,0.0,0.0,10996.0,0.0,11233.0,12.04,9836.0,16.53,26412.0,48059.0,36417.0,52424.0,42635.0,52168.0,12.38,79.49,3.93,0.42,292.72,289.28,289.481,290.08,0.094,0.093,0.106,0.0,1770.0652055292833,0.0
SEARCY,13,51220000.0,74933139.0,0,0,245000.0,430104.0,0.0,0.0,50975000.0,74503035.0,0.0,0.0,0.0,0.0,0.0,0.0,8261.0,0.0,8195.0,4.0,7828.0,9.01,21397.0,38933.0,28811.0,41475.0,35077.0,42920.0,22.11,69.75,4.37,0.18,358.395,287.955,288.129,288.685,0.089,0.092,0.102,52.06439898317395,9018.646047693985,0.0
