COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Randolph,792954.0823,42.001352691891206,851897.25107,45.12346641265745,86535.984317,4.583655572206496,19262.8902,1.0203206758311114,1887925.105929
Lawrence,1092056.0549,64.06426970342315,383247.262745,22.482779975834326,85983.21569,5.0441109640989765,18430.40392,1.0811994147883068,1704625.776514
Stone,255043.4471,14.542250964189082,1329358.4825,75.79831943813373,77646.3450999,4.427295230416368,8953.611765,0.5105234845398463,1753809.9688147001
Cleburne,347183.6314,20.38179079467055,1023721.5606999999,60.09868206644096,109907.85882600001,6.452259791881759,112025.7451,6.576592597519819,1703401.01563
Woodruff,1239284.8271569,72.50078683249846,14015.137254,0.8199152093321137,57758.564709,3.3789983512709574,27364.88235,1.600903568314702,1709339.831056
Jackson,1405389.79614,76.12788750574798,119418.00785000001,6.468696935707446,89253.984305,4.834756375258306,26527.43922,1.436952163949363,1846090.6274772002
Cross,1372813.7644500001,76.65713536633417,171081.61964,9.553099783122715,76068.858819,4.247641565559949,23415.59216,1.3075132726478198,1790849.29001
Lee,1282711.012,71.95097117178852,74895.90195999999,4.201127792928824,57539.400001,3.227551390752354,53237.34118,2.986236466881482,1782757.051239
Clay,1346830.8625999999,72.96352602414782,190384.886251,10.313954772140416,86838.87450899999,4.704429231680667,14763.47059,0.7997996634267254,1845896.0743677
Chicot,1355586.9211765,68.19123894026144,16793.250980999997,0.8447651510500593,67844.152932,3.412821982134843,153519.5647,7.722624905068395,1987919.4779905
