COUNTY,Ag,AG11,For,FOR11,Urb,URB11,Wat,WAT11,Total
Logan,628779.1294117643,29.867559510271093,356739.3921568628,16.945433661055105,91347.89411764707,4.339104998998906,55966.72549019608,2.658468492326142,2105224.3294117646
Franklin,639496.341176471,35.86303152484787,587115.5921568625,32.92551283642276,78448.52549019613,4.399402719891979,33139.000000000015,1.8584390952347505,1783163.0901960782
Johnson,420909.93333333323,21.422812932353327,863613.9882352932,43.95486884619721,91313.83137254902,4.647548020876456,53117.5921568627,2.703495807717949,1964774.3490196068
Conway,610008.5647058823,37.407123240708536,289143.43137254915,17.73093788742012,90288.78823529415,5.536715423660206,38110.811764705926,2.3370423219765195,1630728.3529411766
Van Buren,335538.8666666668,16.098407242015522,955053.28627451,45.82132881656916,100423.65882352943,4.8181034064242585,35448.14901960784,1.7007232114788293,2084298.5372549023
Searcy,436189.2313725491,22.673029285079267,1204954.7999999996,62.633310275977074,77460.34509803921,4.026373295172359,3510.6352941176474,0.1824821226839934,1923824.2313725487
Marion,362907.6980392156,19.694878376982437,918108.4039215688,49.825433436153865,83364.36862745097,4.524156169633414,128560.42745098037,6.976931038994737,1842650.109803921
Fulton,593860.654901961,33.266694557904835,840139.066666667,47.06263916672041,82485.57647058826,4.620650408861934,10099.921568627453,0.5657741477043845,1785150.77254902
Izard,412614.7019607842,24.55083911373502,643818.4039215684,38.30760750411253,82757.98039215687,4.924152853328491,11580.952941176478,0.6890741194907366,1680654.172549019
Sharp,381955.588235294,21.886389827153906,917827.8470588232,52.59233972137132,82907.45490196077,4.750669798928799,8244.835294117647,0.4724362854368674,1745174.015686274
Randolph,778724.0156862747,41.24761163776808,687968.0431372543,36.440430872691906,75620.97254901967,4.005507014732821,19431.89411764705,1.0292725096510242,1887925.1058823527
Lawrence,1089687.93333333,63.92534645284557,291999.6274509804,17.129837614890672,76855.43529411765,4.508639746915376,19957.317647058822,1.170774132512551,1704625.7764705848
Stone,257843.6823529412,14.701916796306735,1032543.4745098042,58.87430753503372,68343.49411764706,3.8968585730604173,9246.4862745098,0.5272228143249857,1753809.9686274515
Cleburne,341421.2901960785,20.043506317772447,518567.1686274511,30.44304681352607,92866.57647058826,5.451832869383004,110665.24705882352,6.4967230875013975,1703401.0156862745
Woodruff,1241785.6823529426,72.64709214409545,2789.686274509804,0.1632025547705026,54407.56470588241,3.18295775405846,30409.231372549013,1.7790044328476962,1709339.8313725507
Jackson,1406834.1137254892,76.20612405513369,94773.09411764712,5.133718394340512,83692.37647058823,4.533492301304182,29734.160784313724,1.6106555302417447,1846090.6274509795
Cross,1372404.9019607846,76.63430471084037,23984.33725490196,1.339271673289489,70946.67058823527,3.961621504200802,22888.850980392155,1.2781003463382492,1790849.2901960786
Lee,1283738.3411764707,72.00859704750594,6192.415686274509,0.34735050874537904,54048.00784313731,3.0317091054787677,56407.666666666526,3.164069194714234,1782757.0509803924
Clay,1345370.3882352943,72.88440594319864,110456.56470588237,5.98389943134882,80392.50196078428,4.355201956975465,15766.61176470588,0.8541440649031586,1845896.0745098041
Chicot,1311202.949019608,65.9585543200297,202.0,0.010161377369238021,63725.96470588235,3.2056612653228402,203927.8235294117,10.25835431173133,1987919.4784313727
Carroll,684761.7647058808,37.25967263890614,771115.5725490194,41.95840842877656,98289.41176470596,5.348183112701389,27190.580392156804,1.4795103589184408,1837809.3960784297
Scott,324585.03529411764,12.559250883448522,256767.50980392157,9.935170213326902,93994.10980392157,3.636937869067721,10692.682352941178,0.4137346632937783,2584429.901960785
